token,anchorless_concern_count
capability,65
display,60
label,60
whose,60
concern,60
category,60
deficit-state,60
topical,60
overlap,60
child,46
preparation,24
becoming,20
competency,20
00,19
organizational,19
application,18
personal,18
handle,17
real-world,16
visibility,15
across,14
deficit,14
competitive,14
emotionally,13
identifying,13
culture,12
practical,12
readiness,12
blindness,12
holistic,12
new,12
trust,12
long-term,11
institutional,11
accuracy,10
cross-functional,10
credibility,10
psychological,10
safety,10
25,9
67,9
careers,9
teams,9
domain,9
multiple,8
strategically,8
strengths,8
50,8
development,8
cognitive,8
teaching,8
excessive,7
feedback,7
feeling,7
performance,7
placement,7
institutionally,7
adaptation,7
interviews,7
alignment,7
