archetype_key,problem_count,stakeholders_covered,emotion_categories_covered,problems_ok,stakeholders_ok,emotions_ok
academic_achievement,4,5,5,true,true,true
adaptability_change,4,5,5,true,true,true
career_professional_growth,4,5,5,true,true,true
collaboration_teamwork,4,5,5,true,true,true
communication_expression,4,5,5,true,true,true
confidence_self_efficacy,4,5,5,true,true,true
critical_reflective_thinking,4,5,5,true,true,true
curiosity_innovation,4,5,5,true,true,true
decision_judgment,4,5,5,true,true,true
emotional_regulation,4,5,5,true,true,true
expectations_pressure,4,5,5,true,true,true
focus_attention,4,5,5,true,true,true
identity_self_awareness,4,5,5,true,true,true
leadership_influence,4,5,5,true,true,true
learning_comprehension,4,5,5,true,true,true
motivation_drive,4,5,5,true,true,true
negotiation_advocacy,4,5,5,true,true,true
networking_relationships,4,5,5,true,true,true
performance_anxiety,4,5,5,true,true,true
resilience_recovery,4,5,5,true,true,true
social_connection_belonging,4,5,5,true,true,true
time_self_discipline,4,5,5,true,true,true
